score,smiles,Name,SA_Score
0.788747543,O=C1NC[C@H]2[C@@H]1[C@@H]2c1nc2c(F)c(Cl)ccc2c(=O)n1[C@]1(C(=O)O)C[C@@H](O)C1,20475958_585669989_259505376,4.409781297837412
0.787733734,NC1(c2nc3c(F)c(Cl)ccc3c(=O)n2-c2[nH][nH]c(=O)c2C(=O)O)CC(O)C1,20475958_19737344_72188001,3.4851263138934323
0.784856689,O=C(O)c1c(-n2c([C@@H]3[C@H]4CNC(=O)[C@H]43)nc3c(F)cc(F)cc3c2=O)[nH][nH]c1=O,20475942_19737344_259505376,4.407294140283019
0.784051424,O=C1NCCN[C@@H]1c1nc2c(F)c(Cl)ccc2c(=O)n1[C@]1(C(=O)O)C[C@@H](O)C1,20475958_585669989_15442541,3.8271118301569205
0.783492404,CN1CCNC[C@H]1c1nc2cc(N)c(C(=O)O)cc2c(=O)n1[C@]1(C(=O)O)C[C@@H](O)C1,3191201_585669989_89223309,3.734467701948148
0.783353114,O=C1CN[C@H](c2nc3c(F)c(Cl)ccc3c(=O)n2-c2[nH][nH]c(=O)c2C(=O)O)CN1,20475958_19737344_76576478,3.959667030902123
0.782567728,C[C@@H]1O[C@@H](O)C[C@H](n2c([C@@H]3[C@H]4CNC(=O)[C@H]43)nc3cc(N)c(C(=O)O)cc3c2=O)[C@H]1O,3191201_44019649_259505376,4.832932373374048
0.781184903,CN1CCO[C@H](c2nc3c(F)c(Cl)ccc3c(=O)n2-c2[nH][nH]c(=O)c2C(=O)O)C1,20475958_19737344_19686076,3.800408569363662
0.780570763,O=C1CNC[C@H](c2nc3c(F)c(Cl)ccc3c(=O)n2[C@]2(C(=O)O)C[C@@H]2C(=O)O)N1,20475958_34363759_38540696,4.4165771977318995
0.780385554,Cc1ncc(C(=O)O)c2c(=O)n(C(=N)N3CCNCC3)c([C@@]3(N)CC3(F)F)nc12,1729539_2585910_39083022,4.1834100042749025
0.780006254,Cc1ncc(C(=O)O)c2c(=O)n([C@]3(C(=O)O)C[C@@H]3C(=O)O)c([C@H]3C[C@@H](F)CN3)nc12,1729539_34363759_2583797,4.75460514985302
0.779535919,CN1CCN[C@@H](c2nc3cc(N)c(C(=O)O)cc3c(=O)n2[C@]2(C(=O)O)C[C@@H](O)C2)C1,3191201_585669989_23094284,3.7697651378455834
0.778748074,CN1CCO[C@@H](c2nc3c(F)c(Cl)ccc3c(=O)n2-c2[nH][nH]c(=O)c2C(=O)O)C1,20475958_19737344_19686074,3.800408569363662
0.778077129,N[C@@H]1CO[C@@H]1c1nc2c(F)c(Cl)ccc2c(=O)n1-c1[nH][nH]c(=O)c1C(=O)O,20475958_19737344_13356052,4.136429196023666
0.777729076,O=C(O)c1c(-n2c([C@@H]3[C@H]4CNC(=O)[C@H]43)nc3c(Cl)cccc3c2=O)[nH][nH]c1=O,389731_19737344_259505376,4.304098893601972
0.777014774,Nc1cc2nc([C@H]3C[C@@H](F)CN3)n([C@@H]3C[C@H](CO)[C@@H](O)[C@H]3O)c(=O)c2cc1C(=O)O,3191201_2389432_2583797,4.57848163786112
0.776844269,O=C(O)c1c(-n2c([C@@H]3[C@@H]4COC[C@@H]43)nc3c(F)c(Cl)ccc3c2=O)[nH][nH]c1=O,20475958_19737344_100145351,4.345053331471794
0.776684991,O=C(O)c1c(-n2c([C@H]3[C@@H]4COC[C@@H]43)nc3c(F)c(Cl)ccc3c2=O)[nH][nH]c1=O,20475958_19737344_102237175,4.345053331471794
0.776167387,N=C(N1CCNCC1)n1c([C@@H]2[C@H]3CNC(=O)[C@H]32)nc2cc(N)c(C(=O)O)cc2c1=O,3191201_2585910_259505376,4.390772482269215
0.775020629,Cc1cc(F)c2nc([C@@H]3[C@H]4CNC(=O)[C@H]43)n(-c3[nH][nH]c(=O)c3C(=O)O)c(=O)c2c1,20475949_19737344_259505376,4.394230294129174
0.774362499,O=C(O)c1c(-n2c([C@H]3CNC[C@H](O)C3)nc3c(F)c(Cl)ccc3c2=O)[nH][nH]c1=O,20475958_19737344_4202625,4.0865981972869125
0.774334335,C[C@@H]1O[C@H](O)C[C@H](n2c([C@@H]3[C@H]4CNC(=O)[C@H]43)nc3cc(N)c(C(=O)O)cc3c2=O)[C@H]1O,3191201_104589928_259505376,4.832932373374048
0.773288393,O=C1NCCN[C@H]1c1nc2c(F)c(Cl)ccc2c(=O)n1[C@]1(C(=O)O)C[C@@H](O)C1,20475958_585669989_15442539,3.8271118301569205
0.772942775,O=C1CNC[C@@H](c2nc3c(F)c(Cl)ccc3c(=O)n2[C@]2(C(=O)O)C[C@@H](O)C2)N1,20475958_585669989_38540697,3.890846040683237
0.772710752,O=C1NC[C@H]2[C@@H]1[C@@H]2c1nc2c(F)cc(Cl)cc2c(=O)n1[C@]1(C(=O)O)C[C@@H](O)C1,20475945_585669989_259505376,4.3930438484447
0.772556518,Nc1nc2nc([C@@H]3[C@H]4CNC(=O)[C@H]43)n(-c3[nH][nH]c(=O)c3C(=O)O)c(=O)c2nc1Cl,21298040_19737344_259505376,4.698793755667635
0.772514614,O=C(O)c1c(-n2c([C@@H]3[C@H]4CNC(=O)[C@H]43)nc3cc(Cl)cc(F)c3c2=O)[nH][nH]c1=O,116069420_19737344_259505376,4.423919909513788
0.77196461,Cc1ncc(C(=O)O)c2c(=O)n(C(=N)N3CCNCC3)c([C@@H]3[C@H]4CNC(=O)[C@H]43)nc12,1729539_2585910_259505376,4.587223031719766
0.771682292,O=C(O)c1c(-n2c([C@H]3C[C@@H](F)CN3)nc3c(ncn3C3CC3)c2=O)[nH][nH]c1=O,107330168_19737344_2583797,4.289263601493438
0.770872021,O=C1NC[C@H]2[C@@H]1[C@@H]2c1nc2ccc(Cl)c(F)c2c(=O)n1[C@]1(C(=O)O)C[C@@H](O)C1,40254060_585669989_259505376,4.439215305934578
0.770725894,Nc1cc2nc([C@H]3C[C@@H](F)CN3)n([C@@H]3C[C@H](O)C[C@H]3O)c(=O)c2cc1C(=O)O,3191201_306959473_2583797,4.483682103135918
0.7706352,C[C@@H]1CN[C@@H]1c1nc2c(F)c(Cl)ccc2c(=O)n1[C@]1(C(=O)O)C[C@@H](O)C1,20475958_585669989_59551374,4.0872400179766
0.77058875,Nc1nc2nc([C@@H]3[C@H]4CNC(=O)[C@H]43)n([C@]3(C(=O)O)C[C@@H]3C(=O)O)c(=O)c2cc1Cl,98213471_34363759_259505376,4.921353799851841
0.769767493,Nc1cc2nc([C@@H]3[C@H]4CNC(=O)[C@H]43)n([C@@H]3CO[C@H]4[C@@H]3OC[C@H]4O)c(=O)c2cc1C(=O)O,3191201_39349319_259505376,4.867001775776918
0.769506526,Cc1ccc2nc3c(=O)n(-c4[nH][nH]c(=O)c4C(=O)O)c([C@@H]4[C@H]5CNC(=O)[C@H]54)nc3n2c1,74535894_19737344_259505376,4.564089155785942
0.769219375,C[C@@H]1NC[C@H]1c1nc2c(F)c(Cl)ccc2c(=O)n1[C@]1(C(=O)O)C[C@@H](O)C1,20475958_585669989_139104399,4.108086391602973
0.768973404,O=C(O)c1c(-n2c([C@@H]3[C@H]4CNC(=O)[C@H]43)nc3c(F)c(F)ccc3c2=O)[nH][nH]c1=O,40230884_19737344_259505376,4.409448947975327
0.768619102,CC1=NNC(n2c([C@@H]3[C@H]4CNC(=O)[C@H]43)nc3cc(N)c(C(=O)O)cc3c2=O)=NN1,3191201_49474201_259505376,4.630758242847122
0.768515038,NC1(c2nc3c(F)c(Cl)ccc3c(=O)n2[C@]2(C(=O)O)C[C@@H](O)C2)CNC1,20475958_585669989_34437010,3.4954080847813858
0.768157417,O=C1NC[C@H]2[C@@H]1[C@@H]2c1nc2cc(Cl)c(F)cc2c(=O)n1[C@]1(C(=O)O)C[C@@H](O)C1,2548692_585669989_259505376,4.321652350468991
0.768083811,Cc1ncc(C(=O)O)c2c(=O)n([C@]3(C(=O)O)C[C@@H](O)C3)c([C@@H]3CNCCN3C)nc12,1729539_585669989_89223309,3.944189069469515
0.76551443,CNc1nccc2c(=O)n(-c3[nH][nH]c(=O)c3C(=O)O)c([C@@H]3[C@H]4CNC(=O)[C@H]43)nc12,84095312_19737344_259505376,4.500812943701824
0.765333757,O=C(O)c1c(-n2c([C@@H]3[C@H]4CNC(=O)[C@H]43)nc3ncc(F)cc3c2=O)[nH][nH]c1=O,66054239_19737344_259505376,4.511475224962918
0.765102252,COc1ccc(F)c2nc([C@@H]3[C@H]4CNC(=O)[C@H]43)n(-c3[nH][nH]c(=O)c3C(=O)O)c(=O)c12,71790417_19737344_259505376,4.387582306180246
0.764456826,O=C(O)c1c(-n2c([C@@H]3[C@H]4CNC(=O)[C@H]43)nc3cnn(CCF)c3c2=O)[nH][nH]c1=O,95098604_19737344_259505376,4.746946277035157
0.764355895,N[C@H]1CO[C@@H]1c1nc2c(F)c(Cl)ccc2c(=O)n1-c1[nH][nH]c(=O)c1C(=O)O,20475958_19737344_13356048,4.136429196023666
0.763584817,Cc1ncc(C(=O)O)c2c(=O)n(C(=O)[C@@H]3CN(C)CCN3)c([C@@]3(N)CC3(F)F)nc12,1729539_38893055_39083022,4.38266500081157
0.762779021,Cc1ncc(C(=O)O)c2c(=O)n([C@H]3C=NNC3=O)c([C@@H]3[C@H]4CNC(=O)[C@H]43)nc12,1729539_103010903_259505376,4.848208024039163
0.762611771,N[C@@H]1CO[C@@H]1c1nc2c(F)c(Cl)ccc2c(=O)n1[C@]1(C(=O)O)C[C@@H](O)C1,20475958_585669989_13356052,4.114014523471106
0.761219394,CN1CCNC[C@@H]1C(=O)n1c([C@@H]2[C@H]3CNC(=O)[C@H]32)nc2cc(N)c(C(=O)O)cc2c1=O,3191201_39064341_259505376,4.47920063268304
0.761022577,Cc1ncc(C(=O)O)c2c(=O)n(C(=O)[C@H]3CN(C)CCN3)c([C@@]3(N)CC3(F)F)nc12,1729539_38893056_39083022,4.38266500081157
0.760388392,N[C@@H]1CNC[C@@H]1c1nc2c(F)c(Cl)ccc2c(=O)n1[C@]1(C(=O)O)C[C@@H](O)C1,20475958_585669989_26895003,4.110385739184318
0.760234839,Cc1ncc(C(=O)O)c2c(=O)n([C@]3(C(=O)O)C[C@@H](O)C3)c([C@@H]3CN(C)CCN3)nc12,1729539_585669989_23094286,3.9794865053669515
0.759618446,O=C(O)c1c(-n2c([C@@H]3[C@H]4CNC(=O)[C@H]43)nc3cc(F)c(F)cc3c2=O)[nH][nH]c1=O,154761_19737344_259505376,4.3326010633599426
0.759490275,O=c1c2ccc(Cl)c(F)c2nc([C@@H]2NC[C@@H]3C[C@@H]32)n1[C@]1(C(=O)O)C[C@@H](O)C1,20475958_585669989_4975224,4.338464536109171
0.758624527,O=C(O)c1c(-n2c([C@H]3C[C@@H](F)CN3)nc3ccc(Cl)nc3c2=O)[nH][nH]c1=O,42684430_19737344_2583797,4.274000314526785
0.758447349,Cc1cc2nc([C@@H]3[C@H]4CNC(=O)[C@H]43)n(-c3[nH][nH]c(=O)c3C(=O)O)c(=O)c2cc1F,34119726_19737344_259505376,4.327758371052251
0.758018056,N[C@H]1CO[C@H]1c1nc2c(F)c(Cl)ccc2c(=O)n1-c1[nH][nH]c(=O)c1C(=O)O,20475958_19737344_5157071,4.136429196023666
0.758007932,Cc1ncc(C(=O)O)c2c(=O)n(CCN3CCNC(=O)C3)c([C@@H]3[C@H]4CNC(=O)[C@H]43)nc12,1729539_22219288_259505376,4.308742206183821
0.757761598,C[C@H]1NC[C@@H]1c1nc2c(F)c(Cl)ccc2c(=O)n1[C@]1(C(=O)O)C[C@@H](O)C1,20475958_585669989_139104521,4.108086391602973
